"missingExerciseId","missingExerciseName","candidateExerciseId","candidateExerciseName","confidence","reason","matchedBy","sourceImageUrls","wouldApply","applied","notes"
"52","Trazioni presa prona","706","Pullups","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Pullups/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Pullups/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=0.96"
"54","Rematore bilanciere","240","Bent Over Barbell Row","high","alias esplicito; muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Barbell_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Bent_Over_Barbell_Row/1.jpg","true","true","primary ok; equipment ok; category ok; movement no; score=1"
"55","Rematore macchina","853","Smith Machine Upright Row","low","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Smith_Machine_Upright_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Smith_Machine_Upright_Row/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.56"
"57","Chest supported row","565","Leverage High Row","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_High_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Leverage_High_Row/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.464"
"58","Reverse fly machine","739","Reverse Machine Flyes","none","attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Reverse_Machine_Flyes/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Reverse_Machine_Flyes/1.jpg","false","false","primary no; equipment ok; category ok; movement no; score=0.56"
"59","Hyperextension","482","Hyperextensions (Back Extensions)","none","categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hyperextensions_Back_Extensions/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Hyperextensions_Back_Extensions/1.jpg","false","false","primary no; equipment no; category ok; movement no; score=0.4"
"60","Lat pulldown presa neutra","333","Close-Grip Front Lat Pulldown","low","alias esplicito; muscolo principale compatibile; categoria compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Close-Grip_Front_Lat_Pulldown/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Close-Grip_Front_Lat_Pulldown/1.jpg","false","false","primary ok; equipment no; category ok; movement no; score=0.84"
"62","T-bar row supportato","602","Lying T-Bar Row","low","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile","normalized","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lying_T-Bar_Row/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Lying_T-Bar_Row/1.jpg","false","false","primary ok; equipment ok; category ok; movement no; score=0.56"
"64","Pullover macchina dorsali","20","Trazioni assistite","none","muscolo principale compatibile; attrezzatura compatibile; categoria compatibile; movimento compatibile","metadata","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Assisted_Pull-Up/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Band_Assisted_Pull-Up/1.jpg","false","false","primary ok; equipment ok; category ok; movement ok; score=0.52"
"65","Dead hang","78","Scapular pull-up","none","link in alternatives; attrezzatura compatibile; categoria compatibile; movimento compatibile","alias","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Scapular_Pull-Up/0.jpg | https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/exercises/Scapular_Pull-Up/1.jpg","false","false","primary no; equipment ok; category ok; movement ok; score=0.48"
